TableName,FieldName,SubVersion,Type,SubType,SubSubType,Size,Units,SuperNumbatFieldName,WallabySubTable,ShortDescription,LongDescription,Required,Auto,IsInteresting,CSV,DisplayOrdinal,LabelDescription,Default,EditControlStyle,Validation,DefaultSourceTable,DefaultSourceField,ShortName,GeometryFieldCode,ExportName,ChoiceLookupObjectType,ChoiceLookupField,GridCellTypeClass,StructureOrdinal,DateTimeFormat,Precision,LocalOnly,ReadOnly,ChoiceOnly,ClearTextChoice,Fake,IgnoreZeroForLimits,JetOnlyBlob,SortOnAbsValue,IWLiveField,IWLiveReadOnlyField,GMRField,GMRRunTypes,IWLiveWQ,IWLivePrecedingProjection,IWLiveBalanceNet,RequiredForModeling,DefaultFlagAllowed,GISFlagAllowed,NodeFlagAllowed,AffectsDateStamp,StoresFileRef,CacheLevel,CanBeSetWhenScripting,ColumnWidthInGrid,PossiblyTVD,CreateFlagField,ErrorUpperLimit,ErrorLowerLimit,WarningUpperLimit,WarningLowerLimit,Choice,NotInTemplate,IsSWMMResult,IsIWResult,IsWQResult,USShortDescription,AustralianShortDescription,NewZealandShortDescription,USLongDescription,AustralianLongDescription,NewZealandLongDescription,USColumnWidthInGrid,AustralianColumnWidthInGrid,NewZealandColumnWidthInGrid
hw_runoff_surface,initial_infiltration,0,Double,,,0,I,,2,Initial infiltration,Initial infiltration,F,F,0,1,130,Init infil,,Floating Point S,,,,initial_in,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,initial_loss_porosity,0,Double,,,0,,,2,Initial loss porosity,Initial loss porosity,F,F,0,1,260,IL Porosity,1,Floating Point S,,,,initial_lo,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,1.000000,0.001000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,initial_loss_type,0,Text,,,10,,,2,Initial loss type,Initial loss type,F,F,0,1,50,IL type,,,ABS;SLOPE;SCS;DWA,,,initial_lo,,,,,,0,,0,F,F,T,T,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,15,F,T,,,,,initial_loss_type,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,initial_loss_value,0,Double,,,0,L,,2,Initial loss value,Initial loss value,F,F,0,1,52,IL value,0,Floating Point S,,,,initial_lo,,,,,,0,,8,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,initial_moisture_deficit,0,Double,,,0,,,2,Green-Ampt deficit,Green-Ampt deficit,F,F,0,1,220,Grn deficit,,Floating Point S,,,,initial_mo,,,,,,0,,2,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,1.000000,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,limiting_infiltration,0,Double,,,0,I,,2,Limiting Infiltration,Limiting infiltration,F,F,0,1,140,Limit infil,,Floating Point S,,,,limiting_i,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,max_infiltration_volume,2012,Double,,,0,RD,,2,Horton max infiltration volume,Horton max infiltration volume,F,F,0,1,170,Horton maxi,,Floating Point S,,,,max_inf_vol,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,maximum_deficit,2203,Double,,,0,RD,,2,Maximum deficit,Maximum deficit,F,F,0,1,280,,,Floating Point S,,,,max_def,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,maximum_runoff,0,Double,,,0,,,2,Maximum runoff,Maximum runoff,F,F,0,1,92,Max runoff,,Floating Point S,,,,maximum_ru,,,,,,0,,5,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,1.000000,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,minimum_napi,2309,Double,,,0,RD,,2,Min NAPI,Minimum NAPI,F,F,0,1,370,Min napi,-15,Floating Point S,,,,min_napi,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,1,1,0,0,0,0,0,0,12,F,T,0.000000,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,minimum_runoff,0,Double,,,0,,,2,Minimum runoff,Minimum runoff,F,F,0,1,90,Min runoff,,Floating Point S,,,,minimum_ru,,,,,,0,,5,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,1.000000,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,moisture_depth_parameter,0,Double,,,0,Y,,2,New UK depth,New UK depth,F,F,0,1,110,New UK depth,,Floating Point S,,,,moisture_d,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,1.000000,,,F,F,F,F,,,,,,,0,0,0
