TableName,IndexName,Primary,Unique,Required,Index1,Index2,Index3,Index4,Index5,Index6,Index7
Model Network Template,PrimaryKey,T,T,T,ID,,,,,,
Model Validation,PrimaryKey,T,T,T,ID,,,,,,
Observed Depth Event,PrimaryKey,T,T,T,ID,,,,,,
Observed Flow Event,PrimaryKey,T,T,T,ID,,,,,,
Observed Velocity Event,PrimaryKey,T,T,T,ID,,,,,,
Pipe Sediment Data,PrimaryKey,T,T,T,ID,,,,,,
Point Selection,PrimaryKey,T,T,T,ID,,,,,,
Pollutant Graph,PrimaryKey,T,T,T,ID,,,,,,
ps_2d_results_line,PrimaryKey,T,T,T,name,,,,,,
ps_2d_results_polygon,PrimaryKey,T,T,T,name,,,,,,
ps_point_selection,PrimaryKey,T,T,T,name,,,,,,
Rainfall Event,PrimaryKey,T,T,T,ID,,,,,,
Results Selector,PrimaryKey,T,T,T,ID,,,,,,
Risk Analysis Run,PrimaryKey,T,T,T,ID,,,,,,
Risk Assessment,PrimaryKey,T,T,T,ID,,,,,,
Risk Calculation Results,PrimaryKey,T,T,T,ID,,,,,,
Run,PrimaryKey,T,T,T,ID,,,,,,
Selection List,PrimaryKey,T,T,T,ID,,,,,,
Sim,PrimaryKey,T,T,T,ID,,,,,,
Sim Stats,PrimaryKey,T,T,T,ID,,,,,,
Statistics Template,PrimaryKey,T,T,T,ID,,,,,,
Stored Query,PrimaryKey,T,T,T,ID,,,,,,
sw_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
sw_simstats_exceedance,PrimaryKey,T,T,T,id,node_link,attribute,threshold_number,exceedance_number,,
sw_simstats_exceedance_totals,PrimaryKey,T,T,T,id,node_link,attribute,threshold_number,,,
sw_simstats_summary,PrimaryKey,T,T,T,id,node_link,attribute,,,,
SWMM Network,PrimaryKey,T,T,T,ID,,,,,,
SWMM Run,PrimaryKey,T,T,T,ID,,,,,,
SWMM Sim,PrimaryKey,T,T,T,ID,,,,,,
swmm_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
Theme,PrimaryKey,T,T,T,ID,,,,,,
Time Varying Data,PrimaryKey,T,T,T,ID,,,,,,
Trade Waste,PrimaryKey,T,T,T,ID,,,,,,
UPM River Data,PrimaryKey,T,T,T,ID,,,,,,
UPM Threshold,PrimaryKey,T,T,T,ID,,,,,,
Users,PrimaryKey,T,T,T,Name,,,,,,
wams_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
Waste Water,PrimaryKey,T,T,T,ID,,,,,,
Workspace,PrimaryKey,T,T,T,ID,,,,,,
